name,recommendation,category,keyword,reason,info,usage,precaution,
비타민 B9(엽산),추천,임신,임신초기(~14주),임신 초기에는 태아의 신경관 형성이 활발하게 일어나므로 엽산이 필수적입니다.,엽산은 세포 생성과 성장에 중요한 수용성 비타민입니다.,아침 식사와 함께 복용하면 안정적으로 흡수됩니다.,고용량을 장기간 복용하면 비타민 B12 결핍 증상을 가릴 수 있으므로 주의가 필요합니다.,
비타민 B6,추천,임신,임신초기(~14주),임신 초기의 입덧 완화와 신경 전달에 도움이 되는 비타민 B6가 필요합니다.,비타민 B6는 신경전달물질과 여성 호르몬 대사에 관여합니다.,하루 권장량 내에서 나눠 섭취하면 흡수율이 좋습니다.,장기간 고용량 섭취 시 신경 손상의 위험이 있으므로 반드시 적정량을 지켜야 합니다.,
철분,추천,임신,임신중기(15~28주),임신 중기에는 태아 성장과 산모 혈액량 증가로 인해 철분 섭취가 중요합니다.,"철은 산소 운반에 필수적인 미네랄로, 특히 여성과 임산부에게 중요합니다.",비타민 C와 함께 섭취하면 흡수율이 높아집니다.,"과잉 섭취 시 변비, 메스꺼움 등의 부작용이 있을 수 있어 식후 복용이 권장됩니다.",
칼슘,추천,임신,임신중기(15~28주),임신 중기에는 태아 뼈 형성을 위해 충분한 칼슘이 필요합니다.,칼슘은 뼈와 치아 건강뿐 아니라 근육 수축과 혈압 조절에도 관여하는 필수 미네랄입니다.,흡수를 위해 비타민 D와 함께 섭취하는 것이 좋습니다.,철분과 동시에 섭취 시 흡수율이 떨어질 수 있으므로 시간차를 두는 것이 좋습니다.,
"오메가-3(EPA, DHA)",추천,임신,임신후기(29주~),임신 후기에는 태아 뇌와 망막 발달을 위해 DHA/오메가-3가 필요합니다.,오메가-3는 불포화지방산의 일종으로 심혈관 건강을 지원하며 염증을 조절하는 역할을 합니다.,식후에 섭취하면 흡수가 잘 됩니다.,항응고제를 복용 중인 경우 출혈 위험이 증가할 수 있어 주의해야 합니다.,
칼슘,추천,임신,임신후기(29주~),임신 후기에는 급격히 증가하는 태아 골격 성장에 대응하기 위해 칼슘 섭취가 중요합니다.,칼슘은 뼈와 치아 건강뿐 아니라 근육 수축과 혈압 조절에도 관여하는 필수 미네랄입니다.,흡수를 위해 비타민 D와 함께 섭취하는 것이 좋습니다.,철분과 동시에 섭취 시 흡수율이 떨어질 수 있으므로 시간차를 두는 것이 좋습니다.,
마그네슘,추천,건강문제,고혈압,혈관을 이완시켜 혈압을 낮추는 데 도움이 됩니다.,마그네슘은 체내 300개 이상의 효소 반응에 관여하며 신경과 근육 기능에 필수적인 미네랄입니다. 특히 심혈관 건강에 중요한 역할을 합니다.,식사 중 함께 섭취하면 흡수율이 높습니다.,과다 섭취 시 설사나 복부 경련이 생길 수 있으므로 적정량을 지켜야 합니다.,
칼륨,추천,건강문제,고혈압,나트륨 배출을 도와 혈압을 낮추는 데 효과적입니다.,칼륨은 세포 내 액체의 균형을 유지하고 심장 기능을 조절하는 데 중요한 미네랄입니다.,신선한 채소나 과일을 통해 자연스럽게 섭취하는 것이 좋습니다.,신장 기능이 저하된 경우 칼륨 과다로 인해 부작용이 발생할 수 있어 주의가 필요합니다.,
"오메가-3(EPA, DHA)",추천,건강문제,고혈압,혈압을 낮추고 혈관 염증을 줄이는 데 도움이 됩니다.,오메가-3는 불포화지방산의 일종으로 심혈관 건강을 지원하며 염증을 조절하는 역할을 합니다.,식후에 섭취하면 흡수가 잘 됩니다.,항응고제를 복용 중인 경우 출혈 위험이 증가할 수 있어 주의해야 합니다.,
마그네슘,추천,건강문제,당뇨병,인슐린 감수성을 개선하고 혈당 조절에 도움을 줍니다.,마그네슘은 체내 300개 이상의 효소 반응에 관여하며 신경과 근육 기능에 필수적인 미네랄입니다. 특히 심혈관 건강에 중요한 역할을 합니다.,식사 중 함께 섭취하면 흡수율이 높습니다.,과다 섭취 시 설사나 복부 경련이 생길 수 있으므로 적정량을 지켜야 합니다.,
