name,recommendation,category,keyword,reason,info,usage,precaution
비타민 A,추천,건강관심사,눈 건강,"망막에서 빛을 감지하는 로돕신 단백질 생성에 필수적이며, 야맹증 예방에 도움을 줍니다.",시력 보호와 면역 기능을 돕는 필수 영양소예요. 눈 건강을 유지하고 피부와 점막을 튼튼하게 만들어 감염을 예방하는 역할도 해요,지용성 비타민이라 기름과 함께 섭취하면 흡수율이 높아집니다.,과다 섭취 시 독성이 나타날 수 있으니 하루 권장량을 초과하지 않도록 주의하세요.
비타민 A,추천,건강관심사,면역 기능,점막과 피부를 건강하게 유지하여 외부 병원균으로부터 몸을 보호하는 역할을 합니다.,,,
비타민 A,주의,흡연,yes,흡연자가 베타카로틴 보충제를 과다 섭취할 경우 폐암 위험이 증가할 수 있으므로 주의가 필요합니다.,,,
비타민 A,주의,임신,6개월 내에 임신 계획 있음,"과다 섭취 시 태아 기형을 유발할 수 있으므로, 권장량을 초과하지 않도록 주의해야 합니다.",,,
비타민 A,주의,임신,임신 중,"과다 섭취 시 태아 기형을 유발할 수 있으므로, 권장량을 초과하지 않도록 주의해야 합니다.",,,
비타민 A,주의,임신,완경기,과도한 비타민 A 섭취는 뼈 건강에 부정적인 영향을 줄 수 있으므로 주의해야 합니다.,,,
비타민 B1(티아민),추천,건강관심사,에너지 대사,탄수화물을 에너지원으로 변환하는 과정에서 필수적인 조효소 역할을 합니다.,우리가 먹는 탄수화물을 에너지로 바꾸는 데 꼭 필요한 비타민이에요. 신경 신호 전달에도 중요한 역할을 해서 피로감을 줄이는 데 도움을 줄 수 있어요.,수용성 비타민으로 식사와 관계없이 매일 꾸준히 섭취하세요.,
비타민 B1(티아민),추천,건강관심사,신경 건강,신경 신호 전달과 근육 기능을 조절하는 데 필요한 신경전달물질 생성을 돕습니다.,,,
비타민 B1(티아민),추천,음주,1,"알코올은 비타민 B군의 흡수를 방해하고, 일부는 소변으로 배출을 증가시킵니다. 따라서 이러한 비타민의 보충이 필요할 수 있습니다.",,,
비타민 B2(리보플라빈),추천,건강관심사,에너지 대사,세포 내 미토콘드리아에서 에너지를 생성하는 대사 과정에 필수적인 역할을 합니다.,"에너지 대사를 돕고, 피부와 점막을 건강하게 유지하는 데 필요해요. 또, 항산화 작용을 해서 세포를 보호하는 역할도 해요.","공복에도 괜찮지만, 식사와 함께 복용하면 더욱 좋습니다. 소변이 노랗게 변할 수 있지만 정상적인 반응이에요!",
비타민 B2(리보플라빈),추천,건강관심사,피부 건강,"피부 세포 재생을 촉진하며, 항산화 작용으로 피부 건강을 유지하는 데 기여합니다.",,,
비타민 B2(리보플라빈),추천,음주,1,"알코올은 비타민 B군의 흡수를 방해하고, 일부는 소변으로 배출을 증가시킵니다. 따라서 이러한 비타민의 보충이 필요할 수 있습니다.",,,
비타민 B3(니아신),추천,건강관심사,에너지 대사,음식에서 얻은 영양소를 ATP로 변환하는 과정에서 필수적인 조효소 역할을 합니다.,"신진대사와 혈액순환을 돕는 중요한 비타민이에요. 콜레스테롤을 조절하고, 혈관 건강에도 긍정적인 영향을 줄 수 있어요.",식사와 함께 복용하면 홍조 반응(나이아신 플러시)을 줄일 수 있습니다.,고용량 섭취 시 얼굴이 붉어지는 '니아신 플러시' 현상이 나타날 수 있어요.
비타민 B3(니아신),추천,건강관심사,심혈관 건강,"혈관 확장을 촉진하고, 나쁜 콜레스테롤(LDL)을 낮추는 데 도움을 줄 수 있습니다.",,,
비타민 B3(니아신),추천,음주,1,"알코올은 비타민 B군의 흡수를 방해하고, 일부는 소변으로 배출을 증가시킵니다. 따라서 이러한 비타민의 보충이 필요할 수 있습니다.",,,
비타민 B5(판토텐산),추천,건강관심사,에너지 대사,"지방산과 탄수화물 대사에 필수적이며, 신체가 에너지를 효율적으로 사용하도록 돕습니다.","지방과 단백질 대사에 관여하며, 스트레스 대응을 돕는 호르몬 생성에도 중요해요. 몸이 피곤할 때 필요한 에너지를 만들어내는 데 관여해요.","하루 한 번, 식사와 함께 복용하면 흡수율이 좋아집니다.",
비타민 B5(판토텐산),추천,건강관심사,스트레스/수면,부신 기능을 지원하여 스트레스 대응 호르몬인 코르티솔 분비를 조절하는 데 기여합니다.,,,
비타민 B5(판토텐산),추천,음주,1,"알코올은 비타민 B군의 흡수를 방해하고, 일부는 소변으로 배출을 증가시킵니다. 따라서 이러한 비타민의 보충이 필요할 수 있습니다.",,,
비타민 B6,추천,건강관심사,기억력 개선,"신경전달물질 합성에 필수적이며, 뇌 기능을 지원하고 기억력 향상에 기여할 수 있습니다.",뇌 건강과 면역력을 챙기는 데 중요한 역할을 해요. 특히 신경전달물질을 만드는 데 필요해서 기억력 유지에도 도움을 줄 수 있어요.,음식과 함께 섭취하면 위장 부담을 줄일 수 있습니다.,
비타민 B6,추천,건강관심사,면역 기능,면역세포의 생성과 기능을 활성화하여 감염 예방에 도움을 줍니다.,,,
비타민 B6,추천,음주,1,"알코올은 비타민 B군의 흡수를 방해하고, 일부는 소변으로 배출을 증가시킵니다. 따라서 이러한 비타민의 보충이 필요할 수 있습니다.",,,
비타민 B7(비오틴),추천,건강관심사,모발 & 손톱 건강,케라틴 생성을 촉진하여 모발과 손톱의 성장과 강도를 유지하는 데 도움을 줍니다.,머리카락과 손톱 건강을 위해 꼭 필요한 비타민이에요. 피부 탄력 유지에도 도움을 줄 수 있어요.,공복이나 식사와 관계없이 편한 시간에 섭취하세요.,
비타민 B7(비오틴),추천,건강관심사,피부 건강,피부 세포 대사를 활성화하여 피부 탄력을 유지하고 건강한 피부를 만드는데 기여합니다.,,,
비타민 B7(비오틴),추천,음주,1,"알코올은 비타민 B군의 흡수를 방해하고, 일부는 소변으로 배출을 증가시킵니다. 따라서 이러한 비타민의 보충이 필요할 수 있습니다.",,,
비타민 B9(엽산),추천,건강관심사,여성건강,"태아의 신경관 형성에 필수적이며, 임신 중 건강한 세포 성장을 지원합니다.",세포 성장과 혈액 생성에 중요한 역할을 해요. 특히 임신을 계획 중이거나 임신 중이라면 꼭 필요한 비타민이에요.,임신 준비 중이라면 공복에 복용하는 것이 효과적이에요. 그렇지 않다면 식사와 함께 복용해도 좋아요.,
비타민 B9(엽산),추천,건강문제,빈혈,"적혈구 생성에 필수적이며, 엽산 결핍성 빈혈 예방에 도움을 줍니다.",,,
비타민 B9(엽산),추천,건강관심사,기억력 개선,뇌 기능과 혈액 순환을 지원하여 인지 기능 유지에 도움을 줄 수 있습니다.,,,
비타민 B9(엽산),추천,음주,1,"알코올은 비타민 B군의 흡수를 방해하고, 일부는 소변으로 배출을 증가시킵니다. 따라서 이러한 비타민의 보충이 필요할 수 있습니다.",,,
비타민 B9(엽산),추천,임신,6개월 내에 임신 계획 있음,임신 전부터 충분한 엽산 섭취는 태아의 신경관 결손증 예방에 중요합니다.,,,
비타민 B9(엽산),추천,임신,임신 중,태아의 신경관 결손증 예방을 위해 필수적입니다.,,,
비타민 B9(엽산),추천,임신,수유 중,"모유를 통해 아기에게 전달되며, 세포 성장과 발달에 필요합니다.",,,
비타민 B12(코발라민),추천,건강문제,빈혈,"적혈구 생성에 필수적이며, B12 결핍으로 인한 거대적아구성 빈혈을 예방합니다.",적혈구 생성과 신경 건강에 필수적인 비타민이에요. 기억력과 인지 기능 유지에도 도움이 될 수 있어요.,아침 공복이나 식사와 함께 섭취하세요. 혀 밑에서 녹여 먹는 제품을 선택하면 흡수율이 높아집니다.,
비타민 B12(코발라민),추천,건강관심사,기억력 개선,신경세포 보호 및 신경전달물질 합성에 기여하여 뇌 기능 유지에 도움을 줍니다.,,,
비타민 B12(코발라민),추천,건강관심사,에너지 대사,"단백질과 지방 대사에 필수적이며, 체내 에너지 생성을 돕습니다.",,,
비타민 B12(코발라민),추천,음주,1,"알코올은 비타민 B군의 흡수를 방해하고, 일부는 소변으로 배출을 증가시킵니다. 따라서 이러한 비타민의 보충이 필요할 수 있습니다.",,,
비타민 C,추천,건강관심사,면역 기능,백혈구 기능을 향상시키고 감염에 대한 방어력을 증가시킵니다.,"면역력을 높이고, 피부 건강을 유지하는 데 중요한 항산화 비타민이에요. 철분 흡수를 도와서 빈혈 예방에도 도움이 될 수 있어요.","공복에도 괜찮지만, 속이 예민하다면 식사 후 섭취하세요.",
비타민 C,추천,건강관심사,피부 건강,콜라겐 합성을 촉진하여 피부 탄력과 상처 회복을 돕습니다.,,,
비타민 C,추천,건강관심사,철분 흡수,장에서 철분 흡수를 촉진하여 빈혈 예방에 도움을 줄 수 있습니다.,,,
